TEAM1, TEAM2, P1, PTIE, P2, ODDS1, ODDSTIE, ODDS2, EV1, EVTIE, EV2, EV1TIE, EV12, EV2TIE, DATE
México,Venezuela,0.48331,0.27794,0.23875,1.95,3.33,3.5,-0.0575479427149857,-0.07446227984783516,-0.1643680091930957,-0.13201022256282086,-0.2219159519080814,-0.2388302890409309,MAÑANA
Estados Unidos,Burkina Faso,0.39492,0.28019,0.32490,2.42,3.25,2.62,-0.044299920343294774,-0.08939537991109292,-0.14877097412441853,-0.1336953002543877,-0.19307089446771328,-0.23816635403551148,MAÑANA
Francia,Corea del Sur,0.72256,0.17184,0.10560,1.28,5.0,8.0,-0.0751262715519591,-0.1407788834788944,-0.15521458923402454,-0.21590515503085353,-0.2303408607859836,-0.29599347271291887,MAÑANA
New Zealand,Alemania,0.00000,0.00000,0.00000,41.0,12.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,MAÑANA
Bolivia,Perú,0.44367,0.29443,0.26190,2.22,3.14,3.4,-0.015054955807051296,-0.07547459856712646,-0.10955285215746391,-0.09052955437417765,-0.12460780796451515,-0.18502745072459037,JUE 16 NOV 2023
Venezuela,Ecuador,0.29433,0.31125,0.39442,3.2,3.0,2.42,-0.05815563956432185,-0.06624256198819051,-0.0455007975756746,-0.12439820155251236,-0.1036564371399964,-0.11174335956386505,JUE 16 NOV 2023
Argentina,Uruguay,0.61185,0.24109,0.14707,1.58,3.8,6.0,-0.03328085982644943,-0.08387243394851118,-0.11760255198618699,-0.11715329377496059,-0.15088341181263643,-0.20147498593469815,JUE 16 NOV 2023
Colombia,Brasil,0.27880,0.30890,0.41230,3.2,3.14,2.33,-0.10782743709659875,-0.03006326906416551,-0.03934326936419641,-0.13789070616076426,-0.14717070646079522,-0.06940653842836186,JUE 16 NOV 2023
Chile,Paraguay,0.50630,0.29234,0.20136,1.96,3.2,4.2,-0.0076589896218468845,-0.06451058918371308,-0.154274873935276,-0.07216957880556002,-0.16193386355712286,-0.2187854631189891,JUE 16 NOV 2023
Paraguay,Colombia,0.29839,0.31624,0.38537,3.14,3.0,2.4,-0.06304977945809692,-0.051292548131915805,-0.07510625745006205,-0.11434232759001273,-0.138156036908159,-0.12639880558197789,MAR 21 NOV 2023
Uruguay,Bolivia,0.86648,0.09431,0.03921,1.09,8.5,26.0,-0.05553292337241896,-0.19839515265958976,0.01945976164893501,-0.2539280760320087,-0.03607316172348396,-0.1789353910106546,MAR 21 NOV 2023
Ecuador,Chile,0.57342,0.25549,0.17109,1.62,3.66,5.5,-0.07106257314754497,-0.06491417029236693,-0.05898352985814764,-0.13597674343991187,-0.13004610300569264,-0.1238977001505146,MAR 21 NOV 2023
Brasil,Argentina,0.38754,0.31360,0.29886,2.33,3.14,3.1,-0.09702886098611713,-0.015288250197814601,-0.07354556135457213,-0.11231711118393173,-0.17057442234068915,-0.08883381155238673,MAR 21 NOV 2023
Perú,Venezuela,0.45348,0.30475,0.24178,2.0,3.25,3.8,-0.0930482556474321,-0.009570784000833249,-0.0812486283612125,-0.1026190396482653,-0.17429688400864463,-0.09081941236204571,MAR 21 NOV 2023
Australia,Bangladesh,0.00000,0.00000,0.00000,1.0,18.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Japón,Myanmar,0.00000,0.00000,0.00000,1.0,21.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Filipinas,Vietnam,0.22500,0.26370,0.51130,4.75,3.6,1.75,0.0687409729805899,-0.05067857228939132,-0.10522236828199713,0.018062400691198688,-0.03648139530140729,-0.1559009405713884,JUE 16 NOV 2023
